All installed programs list generated by choco-package-list-backup on 2021-10-13.


DisplayName                                                                   DisplayVersion               Publisher                         
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030                    11.0.61030                   Microsoft Corporation             
Windows Desktop Extension SDK Contracts                                       10.1.20348.1                 Microsoft Corporation             
Kits Configuration Installer                                                  10.1.21382.1                 Microsoft                         
EverythingToolbar                                                             0.7.2.0                      Stephan Rumswinkel                
Microsoft UniversalWindowsPlatform SDK                                        15.9.14                      Microsoft                         
VS Immersive Activate Helper                                                  17.0.114.0                   Microsoft Corporation             
Windows Setup Files (DesktopEditions)                                         10.1.21382.1                 Microsoft                         
vs_communitymsires                                                            17.0.31709                   Microsoft Corporation             
WinRT Intellisense IoT - en-us                                                10.1.20348.1                 Microsoft Corporation             
Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU) 4.8.03761                    Microsoft Corporation             
BCD and Boot                                                                  10.1.21382.1                 Microsoft                         
Visual C++ Library CRT Desktop Appx Package                                   14.30.30528                  Microsoft Corporation             
WinRT Intellisense Mobile - en-us                                             10.1.20348.1                 Microsoft Corporation             
WinRT Intellisense Desktop - en-us                                            10.1.20348.1                 Microsoft Corporation             
User State Migration Tool (ClientCore)                                        10.1.21382.1                 Microsoft                         
Windows SDK Desktop Headers x64                                               10.1.19041.685               Microsoft Corporation             
Windows SDK Desktop Headers arm64                                             10.1.19041.685               Microsoft Corporation             
WPTx64 (OnecoreUAP)                                                           10.1.21382.1                 Microsoft                         
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030                  11.0.61030.0                 Microsoft Corporation             
GNU Midnight Commander version 4.8.21 (build: 20200203-214)                   4.8.21 (build: 20200203-214) The Free Software Foundation, Inc.
Microsoft Visual Studio Setup Configuration                                   2.7.3111.17308               Microsoft Corporation             
Windows Team Extension SDK                                                    10.1.19041.685               Microsoft Corporation             
ENE IO Driver                                                                 3.3.0                        ENE TECHNOLOGY INC.               
Windows Desktop Extension SDK                                                 10.1.19041.685               Microsoft Corporation             
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664                 12.0.40664                   Microsoft Corporation             
vs_filehandler_amd64                                                          17.0.31709                   Microsoft Corporation             
User State Migration Tool (DesktopEditions)                                   10.1.21382.1                 Microsoft                         
Windows Deployment Image Servicing and Management Tools (DesktopEditions)     10.1.21382.1                 Microsoft                         
icecap_collectionresources                                                    17.0.31709                   Microsoft Corporation             
icecap_collectionresourcesx64                                                 17.0.31709                   Microsoft Corporation             
Visual C++ Library CRT Desktop Appx Package                                   14.30.30528                  Microsoft Corporation             
Microsoft Windows Desktop Runtime - 3.1.15 (x64)                              3.1.15.30014                 Microsoft Corporation             
Windows Setup Files (ClientCore)                                              10.1.21382.1                 Microsoft                         
Windows SDK for Windows Store Apps Headers                                    10.1.20348.1                 Microsoft Corporation             
SDK ARM Redistributables                                                      10.1.20348.1                 Microsoft Corporation             
vs_CoreEditorFonts                                                            17.0.31716                   Microsoft Corporation             
Windows SDK Desktop Tools x86                                                 10.1.20348.1                 Microsoft Corporation             
Imaging Tools Support (DesktopEditions)                                       10.1.21382.1                 Microsoft                         
Microsoft Visual Studio Setup WMI Provider                                    2.7.3111.17308               Microsoft Corporation             
Windows SDK for Windows Store Managed Apps Libs                               10.1.20348.1                 Microsoft Corporation             
Imaging And Configuration Designer (DesktopEditions)                          10.1.21382.1                 Microsoft                         
vs_FileTracker_Singleton                                                      17.0.31703                   Microsoft Corporation             
Windows SDK Desktop Tools x64                                                 10.1.20348.1                 Microsoft Corporation             
